City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Vao,NC,2022-06-13 22:41:53,-22.6667,167.4833,72.14,77,100,14.5
156,Palmer,US,2022-06-13 22:41:53,42.1584,-72.3287,83.8,45,40,13.8
157,Sao Joao Batista,BR,2022-06-13 22:41:54,-27.2761,-48.8494,62.42,95,2,1.92
158,Ila,NO,2022-06-13 22:41:54,63.4305,10.3705,51.8,92,100,1.01
159,Tual,ID,2022-06-13 22:41:55,-5.6667,132.75,82.17,79,62,16.35
160,Kismayo,SO,2022-06-13 22:41:55,-0.3582,42.5454,77.59,81,21,14.99
161,Kaitangata,NZ,2022-06-13 22:41:56,-46.2817,169.8464,40.39,93,94,18.01
162,Namatanai,PG,2022-06-13 22:41:56,-3.6667,152.4333,83.44,69,8,9.66
163,Thompson,CA,2022-06-13 22:41:56,55.7435,-97.8558,80.76,24,40,12.66
164,Klaksvik,FO,2022-06-13 22:39:30,62.2266,-6.589,49.12,94,100,13.85
165,Rio Gallegos,AR,2022-06-13 22:40:59,-51.6226,-69.2181,44.65,76,75,10.36
166,Cayenne,GF,2022-06-13 22:41:57,4.9333,-52.3333,75.09,1,75,2.3
167,Puerto Baquerizo Moreno,EC,2022-06-13 22:41:58,-0.9,-89.6,76.19,73,20,12.66
168,Hithadhoo,MV,2022-06-13 22:41:58,-0.6,73.0833,83.14,72,55,7.9
169,Saskylakh,RU,2022-06-13 22:41:59,71.9167,114.0833,65.86,37,100,3.06
170,Kumylzhenskaya,RU,2022-06-13 22:41:59,49.8809,42.5898,57.97,53,38,7.23
171,Dudinka,RU,2022-06-13 22:42:00,69.4058,86.1778,52.93,67,98,14.47
172,Manzil Kamil,TN,2022-06-13 22:42:00,35.6248,10.6673,74.64,57,0,3.44
173,Tasiilaq,GL,2022-06-13 22:42:01,65.6145,-37.6368,37.56,95,100,9.62
174,Smolenka,RU,2022-06-13 22:42:01,52.1352,113.4974,50.07,87,43,2.24
175,Port-Cartier,CA,2022-06-13 22:42:02,50.0334,-66.8654,57.42,93,80,11.88
176,Yulara,AU,2022-06-13 22:42:02,-25.2406,130.9889,55.98,40,0,2.06
177,Port Hedland,AU,2022-06-13 22:42:03,-20.3167,118.5667,62.65,59,0,8.05
178,Labuhan,ID,2022-06-13 22:42:03,-6.8844,112.2051,77.4,86,100,5.75
179,Gao,ML,2022-06-13 22:42:04,16.6362,1.637,97.38,19,3,7.54
180,Mocuba,MZ,2022-06-13 22:42:04,-16.8392,36.9856,61.52,97,7,1.92
181,Talnakh,RU,2022-06-13 22:39:18,69.4865,88.3972,59.41,60,78,0.74
182,Buala,SB,2022-06-13 22:43:05,-8.145,159.5921,81.81,78,56,9.26
183,Ilulissat,GL,2022-06-13 22:41:41,69.2167,-51.1,35.62,75,75,10.36
184,Ahipara,NZ,2022-06-13 22:43:05,-35.1667,173.1667,60.42,56,47,13.53
185,Deer Lake,CA,2022-06-13 22:42:22,49.1667,-57.4316,73.26,43,40,5.75
186,Ayan,RU,2022-06-13 22:43:06,56.45,138.1667,41.54,98,100,2.93
187,Hualmay,PE,2022-06-13 22:43:07,-11.0964,-77.6139,64.38,78,25,11.45
188,Lannion,FR,2022-06-13 22:43:07,48.75,-3.4167,55.67,77,37,5.61
189,Atasu,KZ,2022-06-13 22:43:07,48.6814,71.6433,60.64,74,80,3.62
190,Sharan,RU,2022-06-13 22:43:08,54.8167,54.0,49.24,86,8,3.27
191,Los Llanos De Aridane,ES,2022-06-13 22:43:08,28.6585,-17.9182,67.75,84,100,3.44
192,Paita,PE,2022-06-13 22:43:09,-5.0892,-81.1144,65.61,79,72,15.55
193,Asyut,EG,2022-06-13 22:43:09,27.181,31.1837,82.58,29,0,7.38
194,Tilichiki,RU,2022-06-13 22:43:10,60.4667,166.1,54.64,51,63,8.05
195,Yinchuan,CN,2022-06-13 22:43:10,38.4681,106.2731,72.09,17,0,9.51
196,Saint-Francois,FR,2022-06-13 22:42:01,46.4154,3.9054,58.44,63,0,3.44
197,Visby,SE,2022-06-13 22:43:11,57.6409,18.296,57.81,82,19,8.05
198,Wadi Maliz,TN,2022-06-13 22:43:11,36.4681,8.5495,74.86,33,0,4.29
199,Saint-Michel-Des-Saints,CA,2022-06-13 22:42:53,46.6834,-73.9159,63.93,59,51,7.78
200,Rundu,NA,2022-06-13 22:43:12,-17.9333,19.7667,52.54,54,0,4.03
201,Ayr,GB,2022-06-13 22:39:34,55.4627,-4.6339,53.58,82,75,6.91
202,Elizabeth City,US,2022-06-13 22:43:13,36.2946,-76.2511,92.01,67,20,11.5
203,Zhezkazgan,KZ,2022-06-13 22:43:13,47.8043,67.7144,60.96,62,69,7.14
204,Kavaratti,IN,2022-06-13 22:43:14,10.5669,72.642,83.68,75,96,14.52
205,Airai,TL,2022-06-13 22:43:14,-8.9266,125.4092,61.39,86,63,3.71
206,Tiksi,RU,2022-06-13 22:43:15,71.6872,128.8694,51.85,53,100,2.66
207,Caiaponia,BR,2022-06-13 22:43:15,-16.9567,-51.8103,62.2,40,39,6.42
