City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Mogadishu,SO,78.89,scattered clouds,2.0371,45.3438,Hotel Juba
224,San Cristobal,VE,76.98,broken clouds,7.7669,-72.225,Pirineos
228,Garowe,SO,76.57,few clouds,8.4054,48.4845,Curubo Hotel
231,Lompoc,US,76.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
237,Eau Claire,US,80.98,clear sky,44.8114,-91.4985,Hampton Inn Eau Claire
238,Thai Binh,VN,82.65,overcast clouds,20.45,106.3333,Sweden Hotel
240,Blackfoot,US,94.01,clear sky,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
244,Tigzirt,DZ,78.24,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
245,Hobyo,SO,78.24,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
247,Acapulco,MX,82.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
257,Najran,SA,79.68,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
258,Albion,US,78.98,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
264,Qui Nhon,VN,80.22,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
266,Gashua,NG,81.19,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
267,Tautira,PF,78.49,few clouds,-17.7333,-149.15,Pension Oaoa
268,Ranot,TH,80.29,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
271,Miri,MY,75.79,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
274,Feni,BD,77.94,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
277,Vieux-Habitants,GP,81.97,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
282,Acajutla,SV,80.83,moderate rain,13.5928,-89.8275,Laureles
283,Harindanga,IN,84.33,light rain,22.0383,88.3214,Hasanur Builders
284,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
288,Malindi,KE,77.86,clear sky,-3.2175,40.1191,African House Resort
291,Bhimunipatnam,IN,81.91,overcast clouds,17.8833,83.4333,Bheemili Court
297,Boulsa,BF,79.16,overcast clouds,12.6675,-0.5758,Auberge Relwende
299,Washim,IN,79.84,overcast clouds,20.1,77.15,Hotel Maniprabha
301,Padang,ID,75.7,overcast clouds,-0.9492,100.3543,Mercure Padang
304,Buala,SB,78.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
305,Port-Gentil,GA,76.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
309,Champerico,GT,80.42,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
310,Diu,IN,83.97,overcast clouds,20.7141,70.9822,Hotel Relax Inn
335,Esna,EG,87.13,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
338,Bodden Town,KY,82.0,overcast clouds,19.2833,-81.25,Will T Place
339,Saraza,PH,79.09,broken clouds,8.7356,117.78,Farmqo Beach (Matangkay)
342,Ciudad Bolivar,VE,79.52,overcast clouds,8.1222,-63.5497,Hotel Edi
343,La Palma,US,87.51,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
345,Bahia Honda,CU,83.91,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
346,Sao Felix Do Xingu,BR,76.89,clear sky,-6.6447,-51.995,Rio Xingu Camping
348,Springfield,US,94.86,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
350,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
353,Palmer,US,83.8,few clouds,42.1584,-72.3287,Wedgewood Motel
362,Hami,CN,75.83,overcast clouds,42.8,93.45,Laoyutang Resort
366,Kolokani,ML,85.87,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
