City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Filingue,NE,14.3521,3.3168,85.08,51,100,7.38,light rain
242,Waldshut-Tiengen,DE,47.6232,8.2172,69.94,80,31,2.66,scattered clouds
243,Shingu,JP,33.7333,135.9833,71.51,96,100,5.17,moderate rain
244,Tigzirt,DZ,36.8886,4.1198,78.24,47,21,7.23,few clouds
245,Hobyo,SO,5.3505,48.5268,78.24,80,94,24.92,overcast clouds
246,Chicama,PE,-7.8447,-79.1469,61.34,68,84,8.41,broken clouds
247,Acapulco,MX,16.8634,-99.8901,82.04,71,88,10.18,overcast clouds
248,Dunedin,NZ,-45.8742,170.5036,48.79,61,17,4.0,few clouds
249,Chama,CH,47.1821,8.4636,70.02,77,50,0.0,scattered clouds
250,Mayumba,GA,-3.432,10.6554,71.8,84,99,2.91,overcast clouds
251,Vadlapudi,IN,14.3167,79.8,85.08,67,92,11.01,overcast clouds
252,Port Macquarie,AU,-31.4333,152.9167,47.89,80,35,12.86,scattered clouds
253,Qitaihe,CN,45.8,130.85,64.9,80,0,6.82,clear sky
254,Chuy,UY,-33.6971,-53.4616,50.67,51,45,15.57,scattered clouds
255,Jinka,ET,5.65,36.65,65.66,71,89,4.63,overcast clouds
256,Thompson,CA,55.7435,-97.8558,69.53,13,90,4.94,overcast clouds
257,Najran,SA,17.4924,44.1277,79.68,22,71,2.55,broken clouds
258,Albion,US,42.2431,-84.753,78.98,41,0,8.05,clear sky
259,Provideniya,RU,64.3833,-173.3,52.23,51,13,3.6,few clouds
260,Taoudenni,ML,22.6783,-3.9836,87.13,44,100,23.26,overcast clouds
261,Charters Towers,AU,-20.1,146.2667,61.93,81,0,7.25,clear sky
262,Moreira Sales,BR,-24.0622,-53.0069,64.18,94,100,15.01,light rain
263,Evensk,RU,61.95,159.2333,46.17,94,100,4.36,light rain
264,Qui Nhon,VN,13.7667,109.2333,80.22,79,40,5.12,scattered clouds
265,Bela Vista,BR,-22.1089,-56.5211,64.56,94,89,10.27,overcast clouds
266,Gashua,NG,12.871,11.0482,81.19,57,70,9.91,broken clouds
267,Tautira,PF,-17.7333,-149.15,78.49,75,22,14.56,few clouds
268,Ranot,TH,7.7777,100.3213,80.29,83,100,3.65,overcast clouds
